	TargetID	DrugID	Highest_status	MOA
129	T48703	D0H4XV	Discontinued in Phase 1/2	Antagonist
130	T46482	D0H4XV	Discontinued in Phase 1/2	Antagonist
131	T59626	D0N0PU	Discontinued in Phase 2	Antagonist
132	T27944	D0B7QP	Discontinued in Phase 2	Agonist
133	T59626	D0MM2K	Discontinued in Phase 2	Antagonist
134	T52450	D0T9HG	Discontinued in Phase 2	Inhibitor
135	T72335	D0T9HG	Discontinued in Phase 2	Inhibitor
136	T68443	D0T9HG	Discontinued in Phase 2	Inhibitor
137	T65019	D0T9HG	Discontinued in Phase 2	Inhibitor
138	T08856	D0T9HG	Discontinued in Phase 2	Inhibitor
139	T68251	D0T9HG	Discontinued in Phase 2	Inhibitor
140	T86702	D0T9HG	Discontinued in Phase 2	Inhibitor
141	T54156	D0T9HG	Discontinued in Phase 2	Inhibitor
142	T03500	D0T9HG	Discontinued in Phase 2	Inhibitor
143	T34296	D0T9HG	Discontinued in Phase 2	Inhibitor
144	T48703	D0H3JF	Discontinued in Phase 2	Modulator
145	T84316	D06FSC	Discontinued in Phase 2	Inhibitor
146	T58921	D02RAU	Discontinued in Phase 2	Modulator
147	T86591	D02RAU	Discontinued in Phase 2	Modulator
148	T25258	D02VJY	Discontinued in Phase 2	Modulator
149	T10670	D07SWU	Discontinued in Phase 2	Modulator
150	T27944	D07SWU	Discontinued in Phase 2	Modulator
151	T62820	D09RON	Discontinued in Phase 2	Modulator
152	T71192	D09RON	Discontinued in Phase 2	Modulator
153	T70176	D0NV9O	Discontinued in Phase 2	Inhibitor
154	T44458	D0NV9O	Discontinued in Phase 2	Inhibitor
155	T85799	D0NV9O	Discontinued in Phase 2	Inhibitor
156	T49898	D0NV9O	Discontinued in Phase 2	Inhibitor
157	T31406	D05CDF	Patented	Inhibitor
158	T04902	D0NJ1A	Discontinued in Phase 3	Inhibitor
159	T86385	D0NJ1A	Discontinued in Phase 3	Inhibitor
160	T51408	D0E8CZ	Discontinued in Phase 3	Agonist
161	T83369	D03PJP	Discontinued in Phase 3	Modulator
162	T44068	D0JP4H	Withdrawn from market	Antagonist
163	T89534	D0X0KJ	Withdrawn from market	Binder
164	T83011	D06QRW	Patented	Inhibitor
165	T62151	D06QRW	Patented	Inhibitor
166	T73215	D0NL9N	Clinical trial	CAR-T-Cell-Therapy(Dual specific)
