,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
IDE,0.8184098477700262,0.7468615050558793,0.5560489363673764,0.9126076861224339,0.9984174642877091,0.9387812848976911,0.959567364617844
INS,0.8184098477700262,0.5181809933298711,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.9999999145262088,0.99999999646805
ADORA2B,0.9987046216219607,0.47405216943843054,0.35026182155391383,0.17542569212158846,0.43220777510049824,0.3078545445636631,0.3082494184351322
ESR2,0.9629228822669513,0.9403851778462438,0.7991892013061265,0.9235922933285009,0.9999934949962019,0.9999999145262088,0.998622125483082
P2RY12,0.9869200563027629,0.6187594490557634,0.8634115700797385,0.23643692337861638,0.10808039962790339,0.8239837065584011,0.8580806146135407
SLC10A1,0.8184098477700262,0.49613884550680953,0.15195607557375368,0.1753260189123586,0.005094354525096345,0.9995471838431296,0.9998890394112571
TACR1,0.8184098477700262,0.42554245599643037,0.5598990714875123,0.4671440370459604,0.7053810737333275,0.3078545445636631,0.3082494184351322
EDNRA,0.8184098477700262,0.4272587039481064,0.35026182155391383,0.539202242241682,0.10808039962790339,0.7402560503865272,0.7755424130681752
AGTR1,0.8184098477700262,0.5241811660821669,0.5268939138418332,0.8941067677566792,0.81468376120697,0.3078545445636631,0.3082494184351322
HTR1B,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.004573091885745112,0.10808039962790339,0.3078545445636631,0.3082494184351322
PPIB,0.9463439341281245,0.9069354762299533,0.8533305470867188,0.9662008887335354,0.9996411522013763,0.999999371432568,0.9999999606427105
CNR2,0.9173286192023842,0.825365590209534,0.8250370292714739,0.7930923590178527,0.9999787476522943,0.8556300229691604,0.8877588090171493
SERPINA1,0.8184098477700262,0.6501319874037832,0.5598990714875123,0.8674019459745743,0.9999986047910905,0.9204619399398323,0.9447467188217953
