,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
AKR1C3,0.006510551483435943,0.27328559357409055,0.5679591267720064,0.9030681384815459,0.06575011901921916,0.9994973981794538,0.6595119136465465
Hn,0.9993423571095541,0.408754591310046,0.8749830693363556,0.9999999970974889,0.11380917664527818,1.0,1.0
Trxr-1,0.9999999968316499,0.3604437739067454,0.6111348269796913,0.9858894931353882,0.349591653833067,1.0,1.0
THPO,0.9999999968316499,0.28114580034090403,0.5611369482989268,0.8507942749012443,0.2546950576357433,1.0,1.0
SLC25A4,0.6790270450799486,0.7183098064538098,0.7128731113436717,0.7385657612153256,0.994496588242381,0.984418976576683,0.9936253880422554
ZDS1,0.626829425391706,0.38138227309593264,0.2736547870145967,0.6395149190048445,0.2689309836789284,0.4192290511711512,0.4320539417978497
TOP1,0.8787265880679913,0.7565911909113481,0.7466496801575808,0.914235265270379,0.9999840205678399,0.98918365077051,0.9760810230579844
DPEP1,0.8411617156361934,0.7497537156738598,0.7816147543835877,0.7910966631728338,0.9998980134344836,0.834891145769082,0.8764950611401625
CD80,0.4503985534613275,0.7324803372320895,0.8526824153096112,0.5299523329712917,0.8950360640807875,0.24819679656490873,0.23927535108126674
AVPR2,0.6790270450799486,0.5465943514002162,0.2736547870145967,0.5623648264205141,0.8950360640807875,0.24819679656490873,0.23927535108126674
SLC18A2,0.6790270450799486,0.6411414599428201,0.5693744716338012,0.661364720374857,0.11380917664527818,0.9039591461900491,0.9371027396253475
IDE,0.6790270450799486,0.672836866031464,0.47142109464187654,0.837561034519309,0.9960887698953155,0.9259400299717554,0.9545687089349737
INS,0.6790270450799486,0.45955020864223284,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.9999999331450294,0.9999999990721888
ADORA2B,0.9999918990965125,0.41035035277864373,0.2736547870145967,0.2273617440268562,0.41199952180411004,0.24819679656490873,0.23927535108126674
ESR2,0.9998789921331853,0.9110882943575568,0.9151106620251029,0.9365460213753343,0.9993634779604211,0.999977762806133,0.9999925552114998
P2RY12,0.9979422346686906,0.595813640484681,0.832161890368423,0.2618839403767389,0.11380917664527818,0.7905382857035556,0.8342295648784266
SLC10A1,0.6790270450799486,0.44686049443256537,0.1815951000665546,0.2163396669234822,0.04855185964105163,0.9994973981794538,0.9999185174529299
TACR1,0.6790270450799486,0.3781160363504974,0.47972260283004775,0.4345510147545618,0.6677360699582647,0.24819679656490873,0.23927535108126674
EDNRA,0.6790270450799486,0.4131820706181053,0.2736547870145967,0.4774150845791977,0.11380917664527818,0.6951834657046287,0.7373134457757434
AGTR1,0.6790270450799486,0.46341903200322876,0.4673324932970773,0.8079262668534808,0.776882764375318,0.24819679656490873,0.23927535108126674
HTR1B,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.016618457965790197,0.11380917664527818,0.24819679656490873,0.23927535108126674
PPIB,0.9596998484076454,0.8929194753224026,0.8046647861091742,0.9491044425031958,0.9988857884901056,0.9999999094581281,0.999999998633444
CNR2,0.9097521095016318,0.8081481249108381,0.7658010310853585,0.6813534502595074,0.9999963142980344,0.8273143454111626,0.8694320412376906
SERPINA1,0.6790270450799486,0.6145535822575469,0.47972260283004775,0.8254325257379133,0.9999999004670116,0.9039591461900491,0.9371027396253475
NR3C1,0.9979422346686906,0.9460662091256913,0.9645399875962387,0.8274523774821902,0.9991411824856103,0.9991760924948963,0.999847176001036
ITGA4,0.6790270450799486,0.671361863131039,0.7024905676039461,0.7991570191743905,0.9999840205678399,0.98918365077051,0.9959833291131741
TNF,0.9993423571095541,0.6497692897166488,0.7252553143661311,0.8996938001263077,0.994496588242381,0.7242962914675446,0.7676302204778088
PARP1,0.9806692649606809,0.9479170069807243,0.8349714842001597,0.8381555714946123,0.9999996948020653,0.997800526244289,0.9994096107796693
IDH1,0.9806692649606809,0.7042306603322246,0.4705833888945923,0.8143350912606963,0.980953715745556,0.98918365077051,0.9959833291131741
PPIA,0.9806692649606809,0.8965201639614102,0.7654573538169496,0.8169447672812232,0.9992307327882428,0.9967559046747358,0.9991276491445567
ABAT,0.6790270450799486,0.5907339447233988,0.4577481820834897,0.4990458189786631,0.9968326309338876,0.9555632064261992,0.9760810230579844
PRDX5,0.9522501479935878,0.7672135151956688,0.6135703660449356,0.7564614559516205,0.9691770366651965,0.969360713310127,0.9850255350125826
ATP1A1,0.9896758819740914,0.9196785319253754,0.9908955880977963,0.8821064646212873,0.9873854275799847,0.9641170833174284,0.981726185543838
GLA,0.6790270450799486,0.19818106834973884,0.2222320134243029,0.427583838207023,0.6677360699582647,0.24819679656490873,0.23927535108126674
EGFR,0.9374246220057324,0.8438408583657506,0.9102946207580278,0.8853989716373082,0.9996139050843637,0.9753498739763979,0.999847176001036
PPP1CA,0.9301983084734645,0.913729248519505,0.8219351770438302,0.8256594825656627,0.9999519160918828,0.9980868757911933,0.9995539672554379
G6PD,0.9865677268860792,0.7569196447903748,0.6279236541355626,0.813515373552949,0.9935024583432858,0.98918365077051,0.9959833291131741
GLP1R,1.0,0.45955020864223284,0.6109110325873919,0.39566597600892783,0.11380917664527818,0.24819679656490873,0.23927535108126674
FNTB,0.6790270450799486,0.41365209313312135,0.5071772310284819,0.5720240647949377,0.9595788723513496,0.24819679656490873,0.23927535108126674
CTNNB1,0.9953663942019959,0.8492424328626397,0.7641799608559525,0.922582460035591,0.9999889466459273,0.9838256599964369,0.9715549329946609
CFTR,0.9999766204568888,0.8407430082426759,0.8793028680939314,0.919954072474009,0.9959076868400442,0.7905382857035556,0.8342295648784266
EZH2,0.9806692649606809,0.9494457971736178,0.8905474949644835,0.9086891365315907,0.9999889466459273,0.939731451084759,0.9979774211510535
SLC33A1,0.9596998484076454,0.6754666968925123,0.4317267736650826,0.7885498233588606,0.8528511990603268,0.712332856261003,0.7552402130868461
NTRK1,0.9979422346686906,0.9768879646921635,0.968509234660486,0.8776261731349116,0.9997378421352543,0.9991760924948963,0.9993375909333231
ACLY,0.8973107319276334,0.9008266841125151,0.9246017215934891,0.821372884121463,0.9995234165546294,0.9397314510847589,0.9649171937275915
FDPS,0.8973107319276334,0.854608066002947,0.6146839413847439,0.8002402869070749,0.9980978608248834,0.9973881974788839,0.9993375909333231
MPL,0.40416487567242343,0.5803582908648207,0.6514258883659703,0.6602945055299703,0.9595788723513496,0.6951834657046287,0.7373134457757434
FOLH1,0.4503985534613275,0.23082023694472897,0.23382359919387755,0.6192009881408304,0.980953715745556,0.24819679656490873,0.23927535108126674
HSP90AA1,0.9447960602198195,0.899465377483271,0.9670834571485729,0.8861359189355673,0.999998946737,0.9985762567994702,0.9999958928200161
PRKCE,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.4858624016596112,0.11380917664527818,0.24819679656490873,0.23927535108126674
